"id_arbol","direccion","tipo_vereda","lado_vereda","especie","tipo_tendido","distancia_entre_ar","distancia_al_muro","activo","lng","lat"
8889,PLAZA JUAN DE DIOS,Chica,Par,Crespón,Alta tensión (Con Protección),5.0,6.0,true,-58.7683088910140086,-27.4574344097050016
8890,PLAZA JUAN DE DIOS,Plaza,Par,Timbó Blanco,Alta tensión (Con Protección),5.0,6.0,true,-58.7683132811219906,-27.4574126221599997
8891,PLAZA JUAN DE DIOS,Plaza,Par,Crespón,Alta tensión (Con Protección),5.0,6.0,true,-58.7683050756020009,-27.4573089948979998
8892,PLAZA JUAN DE DIOS,Plaza,Par,Crespón,Alta tensión (Con Protección),5.0,6.0,true,-58.7683156795549948,-27.4574620285829987
8893,PLAZA JUAN DE DIOS,Plaza,Par,Ingá,Alta tensión (Con Protección),5.0,6.0,true,-58.7683824375599997,-27.4574548140240005
8894,PLAZA JUAN DE DIOS,Plaza,Par,Crespón,Alta tensión (Con Protección),5.0,6.0,true,-58.7683317582019953,-27.457455504696
8897,"25 de mayo 1344",Chica,Par,Pata de Buey (Nativa),Alta tensión (Con Protección),25.0,196.0,true,-58.8333175774999972,-27.4646140691070002
8899,Caa guazú,Plaza,Impar,Ibirá Pitá,Media Tensión (Con Protección),11.0,0.0,true,-58.8295882395250089,-27.4590865915949998
8900,Caa guazú,Plaza,Impar,Lapacho,Media Tensión (Con Protección),16.0,0.0,true,-58.8296836187769969,-27.4591543430490006
8901,Caa guazú,Plaza,Impar,Lapacho,Media Tensión (Con Protección),8.0,0.0,true,-58.8297693221020026,-27.4592146934049985
8902,Caa guazú,Plaza,Impar,Ibirá Pitá,Media Tensión (Con Protección),8.0,0.0,true,-58.8298432221720091,-27.459311889976
8903,Caa guazú,Plaza,Impar,Lapacho,Media Tensión (Con Protección),8.0,0.0,true,-58.8300185073129995,-27.4594967302610016
8904,Caa guazú,Plaza,Impar,Ibirá Pitá,Media Tensión (Con Protección),8.0,0.0,true,-58.8300110584720031,-27.4594953178419985
8905,Caa guazú,Plaza,Impar,Coquito de San Juan,Media Tensión (Con Protección),3.0,0.0,true,-58.8298043041110077,-27.4597032748010008
8906,Caa guazú,Plaza,Impar,Lapacho,Media Tensión (Con Protección),5.0,0.0,true,-58.8297857120659984,-27.4597121278259984
8912,san juan 510,Grande,Par,Palmera,Alta tensión (Con Protección),10.0,3.0,true,-58.8364156152779998,-27.4631968231350001
8913,Caa guazu,Plaza,Impar,Lapacho,Media Tensión (Con Protección),5.0,0.0,true,-58.8297543836330092,-27.4596568807320018
8914,Caa guazú,Plaza,Impar,Tipa,Media Tensión (Con Protección),4.0,0.0,true,-58.8297361089359967,-27.4596656567780002
8915,Caa guazú,Plaza,Impar,Palo Borracho,Media Tensión (Con Protección),16.0,0.0,true,-58.8297235383469967,-27.4597198554810014
